pays	continent
Europe	Europe
Amérique du Nord	Amérique du Nord
Afrique	Afrique
Moyen Orient, Asie	Moyen Orient, Asie
Amérique du Sud	Amérique du Sud
Océanie	Océanie
Pays-Bas	Europe
Cuba	Amérique du Nord
Roumanie	Europe
Canada	Amérique du Nord
Portugal	Europe
Rwanda	Afrique
Tanzanie	Afrique
Irlande	Europe
Hongrie	Europe
Mexique	Amérique du Nord
Maroc	Afrique
Turquie	Europe
Algérie	Afrique
Égypte	Afrique
Arabie saoudite	Moyen Orient, Asie
Dominicaine (République)	Amérique du Nord
Pologne	Europe
Angola	Afrique
République tchèque	Europe
Malaisie	Océanie
Thaïlande	Océanie
France	Europe
Chine	Moyen Orient, Asie
États-Unis	Amérique du Nord
Brésil	Amérique du Sud
Tunisie	Afrique
Cap-Vert	Afrique
Russie	Europe
Maurice	Afrique
Autriche	Europe
Jordanie	Moyen Orient, Asie
Laos	Moyen Orient, Asie
Finlande	Europe
Liechtenstein	Europe
Mali	Afrique
Ukraine	Europe
Émirats arabes unis	Moyen Orient, Asie
Royaume-Uni	Europe
Sénégal	Afrique
Danemark	Europe
Grèce	Europe
Albanie	Europe
Gabon	Afrique
Bulgarie	Europe
Côte d'Ivoire	Afrique
Inde	Moyen Orient, Asie
Slovaquie	Europe
Serbie	Europe
Afrique du Sud	Afrique
Israël	Moyen Orient, Asie
Cameroun	Afrique
Kenya	Afrique
Australie	Océanie
Pakistan	Moyen Orient, Asie
Liban	Moyen Orient, Asie
Antigua-et-Barbuda	Amérique du Nord
Viêt Nam	Moyen Orient, Asie
Japon	Moyen Orient, Asie
Norvège	Europe
Tadjikistan	Moyen Orient, Asie
Lettonie	Europe
Lituanie	Europe
Costa Rica	Amérique du Sud
Argentine	Amérique du Sud
Burkina Faso	Afrique
Philippines	Océanie
Suède	Europe
Géorgie	Europe
Malte	Europe
Croatie	Europe
Seychelles	Afrique
Qatar	Moyen Orient, Asie
Djibouti	Afrique
Oman	Moyen Orient, Asie
Singapour	Océanie
Togo	Afrique
Congo-Kinshasa	Afrique
Congo-Brazzaville	Afrique
Bangladesh	Moyen Orient, Asie
Corée du Sud	Moyen Orient, Asie
Bahreïn	Moyen Orient, Asie
Nigeria	Afrique
Pérou	Amérique du Sud
Sri Lanka	Moyen Orient, Asie
Maldives	Moyen Orient, Asie
Suriname	Amérique du Sud
Chili	Amérique du Sud
Indonésie	Océanie
Jamaïque	Amérique du Nord
Panama	Amérique du Sud
Bénin	Afrique
Chypre	Europe
Sainte-Lucie	Amérique du Nord
Madagascar	Afrique
Éthiopie	Afrique
Dominique	Amérique du Nord
Moldavie	Europe
Porto Rico	Amérique du Nord
Islande	Europe
Uruguay	Amérique du Sud
Bolivie	Amérique du Sud
Swaziland	Afrique
Estonie	Europe
Tchad	Afrique
Arménie	Europe
Népal	Moyen Orient, Asie
Bosnie-Herzégovine	Europe
Équateur	Amérique du Sud
Monténégro	Europe
Biélorussie	Europe
Centrafrique	Afrique
Botswana	Afrique
Zambie	Afrique
Macédoine	Europe
Slovénie	Europe
Cambodge	Moyen Orient, Asie
Namibie	Afrique
Guatemala	Amérique du Sud
Colombie	Amérique du Sud
Ghana	Afrique
Nicaragua	Amérique du Sud
Bahamas	Amérique du Nord
Nouvelle-Zélande	Océanie
Koweït	Moyen Orient, Asie
Niger	Afrique
Honduras	Amérique du Sud
Saint-Christophe-et-Niévès	Amérique du Nord
Venezuela	Amérique du Sud
Libye	Afrique
Saint-Vincent-et-les-Grenadines	Amérique du Nord
Irak	Moyen Orient, Asie
Yémen	Moyen Orient, Asie
Ouzbékistan	Moyen Orient, Asie
Kazakhstan	Moyen Orient, Asie
Saint-Marin	Europe
Gambie	Afrique
Comores	Afrique
Guinée-Bissau	Afrique
Salvador	Amérique du Sud
Guinée	Afrique
Trinité-et-Tobago	Amérique du Nord
Belize	Amérique du Sud
Iran	Moyen Orient, Asie
Mongolie	Moyen Orient, Asie
Mauritanie	Afrique
Ouganda	Afrique
Paraguay	Amérique du Sud
Sao Tomé-et-Principe	Afrique
Guinée équatoriale	Afrique
Sierra Leone	Afrique
Azerbaïdjan	Moyen Orient, Asie
Liberia	Afrique
Barbade	Amérique du Nord
Turkménistan	Moyen Orient, Asie
Kirghizistan	Moyen Orient, Asie
Afghanistan	Moyen Orient, Asie
Burundi	Afrique
Syrie	Moyen Orient, Asie
Mozambique	Afrique
Zimbabwe	Afrique
Soudan	Afrique
Malawi	Afrique
Lesotho	Afrique
Grenade	Amérique du Nord
Fidji	Océanie
Bhoutan	Moyen Orient, Asie
